unit,cycle,sensor_14,sensor_7,sensor_15,sensor_10,sensor_18,sensor_24,sensor_23,sensor_5,sensor_20,sensor_6,RUL
1,1,47.47,1400.6,521.66,554.36,8.4195,23.419,39.06,641.82,392,1589.7,191
1,2,47.49,1403.14,522.28,553.75,8.4318,23.4236,39.0,642.15,392,1591.82,190
1,3,47.27,1404.2,522.42,554.26,8.4178,23.3442,38.95,642.35,390,1587.99,189
1,4,47.13,1401.87,522.86,554.45,8.3682,23.3739,38.88,642.35,392,1582.79,188
1,5,47.28,1406.22,522.19,554.0,8.4294,23.4044,38.9,642.37,393,1582.85,187
1,6,47.16,1398.37,521.68,554.67,8.4108,23.3669,38.98,642.1,391,1584.47,186
1,7,47.36,1397.77,522.32,554.34,8.3974,23.3774,39.1,642.48,392,1592.32,185
1,8,47.24,1400.97,522.47,553.85,8.4076,23.3106,38.97,642.56,391,1582.96,184
1,9,47.29,1394.8,521.79,553.69,8.3728,23.4066,39.05,642.12,392,1590.98,183
1,10,47.03,1400.46,521.79,553.59,8.4286,23.4694,38.95,641.71,393,1591.24,182
1,11,47.15,1400.64,521.4,554.54,8.434,23.4787,38.94,642.28,392,1581.75,181
1,12,47.18,1400.15,521.8,554.52,8.3938,23.366,39.06,642.06,391,1583.41,180
1,13,47.38,1400.83,521.85,553.44,8.4152,23.2757,38.93,643.07,393,1582.19,179
1,14,47.44,1399.16,521.67,554.48,8.3964,23.3826,39.18,642.35,393,1592.95,178
1,15,47.3,1402.13,522.5,553.64,8.4199,23.35,38.99,642.43,391,1583.82,177
1,16,47.24,1404.5,521.49,553.94,8.3936,23.455,38.97,642.13,392,1587.98,176
1,17,47.12,1399.95,521.89,553.8,8.4542,23.3319,38.81,642.58,392,1584.96,175
1,18,47.21,1396.12,521.76,554.2,8.4028,23.3987,38.89,642.62,392,1591.04,174
1,19,47.4,1400.35,521.89,554.18,8.4321,23.3464,38.8,641.79,391,1587.56,173
1,20,47.22,1405.23,522.07,554.81,8.421,23.422,39.03,643.04,392,1581.11,172
1,21,47.15,1398.13,522.42,554.08,8.4049,23.3101,39.09,642.37,392,1586.07,171
1,22,47.24,1400.57,522.0,553.63,8.4034,23.3792,38.92,642.77,392,1592.93,170
1,23,47.25,1394.75,521.52,553.98,8.424,23.4562,38.94,642.14,392,1588.19,169
1,24,47.44,1398.81,522.13,553.49,8.3891,23.3696,39.0,642.38,392,1590.83,168
1,25,47.36,1399.39,522.56,554.0,8.3917,23.4288,38.95,642.77,393,1594.1,167
1,26,47.26,1396.07,522.28,554.11,8.426,23.4149,38.86,642.16,394,1589.08,166
1,27,47.37,1401.84,522.0,554.07,8.4046,23.4472,38.99,642.44,393,1590.47,165
1,28,47.41,1399.13,522.57,554.68,8.4323,23.2841,39.01,642.35,390,1582.84,164
1,29,47.24,1400.99,522.41,554.25,8.4189,23.3597,38.93,641.91,393,1584.83,163
1,30,47.4,1396.08,522.19,554.37,8.4065,23.411,39.05,642.2,390,1593.52,162
1,31,47.41,1396.9,521.95,554.13,8.4104,23.3353,38.94,642.02,392,1584.18,161
1,32,47.25,1400.36,521.92,554.96,8.4148,23.4999,39.02,642.33,392,1591.38,160
1,33,47.28,1402.43,521.91,554.61,8.3753,23.3506,38.83,642.71,392,1588.4,159
1,34,47.47,1400.48,521.7,554.3,8.4349,23.3092,38.81,642.54,392,1581.47,158
1,35,47.31,1403.0,521.75,554.3,8.443,23.4164,39.13,642.44,391,1590.0,157
1,36,47.25,1405.54,522.32,554.53,8.4246,23.4308,38.86,642.54,392,1581.72,156
1,37,47.29,1398.9,522.29,554.63,8.4142,23.4352,38.99,641.99,392,1579.11,155
1,38,47.27,1399.5,522.42,554.7,8.4158,23.4768,39.06,641.93,392,1589.6,154
1,39,47.12,1400.69,522.23,553.97,8.414,23.3699,38.7,642.01,392,1583.21,153
1,40,47.33,1401.77,521.84,554.57,8.3784,23.3769,38.84,642.24,392,1582.08,152
1,41,47.09,1403.21,522.07,553.72,8.437,23.4444,39.13,642.4,392,1591.31,151
1,42,47.49,1401.38,522.23,553.94,8.4137,23.375,39.0,642.12,392,1584.66,150
1,43,47.32,1406.05,522.74,553.68,8.4068,23.3148,38.99,642.24,392,1591.52,149
1,44,47.45,1401.2,522.3,554.15,8.4201,23.4753,39.06,641.93,392,1586.94,148
1,45,47.45,1399.16,521.73,553.83,8.4099,23.3943,38.79,642.53,393,1582.42,147
1,46,47.2,1401.27,522.02,553.76,8.3977,23.3745,38.93,642.43,393,1588.29,146
1,47,47.22,1402.89,521.84,554.38,8.3973,23.4873,38.99,642.21,392,1580.32,145
1,48,47.4,1399.16,521.91,554.02,8.4376,23.365,38.94,641.89,392,1588.51,144
1,49,47.22,1397.76,521.37,554.23,8.4151,23.4498,39.06,642.23,392,1584.35,143
1,50,47.47,1403.62,522.33,553.92,8.4116,23.4106,38.85,642.77,392,1588.49,142
1,51,47.12,1400.42,521.91,553.73,8.4504,23.3651,38.94,642.81,393,1585.54,141
1,52,47.07,1395.57,522.1,553.04,8.4539,23.3388,39.0,642.76,391,1583.77,140
1,53,47.29,1402.26,521.96,554.16,8.4418,23.3775,38.9,642.61,392,1579.82,139
1,54,47.38,1401.2,522.44,553.95,8.4189,23.2348,38.96,642.42,392,1592.59,138
1,55,47.4,1401.58,522.11,554.45,8.4071,23.3567,39.06,642.41,392,1584.95,137
1,56,47.26,1400.76,522.48,553.98,8.4022,23.3408,38.68,642.49,391,1586.33,136
1,57,47.29,1402.79,521.62,553.42,8.4263,23.3567,38.84,642.13,392,1583.67,135
1,58,47.26,1397.99,522.21,554.14,8.4319,23.2893,38.93,641.9,390,1590.46,134
1,59,47.26,1403.51,521.32,554.62,8.4476,23.4444,38.92,642.33,392,1596.72,133
1,60,47.41,1403.07,522.49,554.0,8.3878,23.387,38.89,642.34,393,1582.75,132
1,61,47.31,1405.52,522.34,554.09,8.4264,23.3638,38.89,642.1,391,1583.55,131
1,62,47.28,1399.54,522.19,554.45,8.4071,23.2707,39.03,642.17,391,1581.59,130
1,63,47.51,1395.38,521.56,553.48,8.4357,23.3436,38.77,642.6,394,1592.14,129
1,64,47.45,1400.11,521.82,553.88,8.4066,23.384,38.93,642.23,391,1584.51,128
1,65,47.56,1403.24,521.54,553.97,8.4406,23.3752,38.9,642.28,392,1584.72,127
1,66,47.14,1399.52,521.76,554.0,8.3911,23.3152,38.95,642.5,391,1588.5,126
1,67,47.39,1403.02,522.64,554.31,8.3925,23.291,38.97,642.33,393,1590.22,125
1,68,47.36,1404.42,521.72,554.04,8.4242,23.3174,38.95,642.51,392,1582.06,124
1,69,47.41,1401.24,522.22,554.65,8.4292,23.3742,39.0,642.44,392,1590.7,123
1,70,47.41,1402.78,521.93,554.01,8.4279,23.4513,38.86,642.22,392,1584.02,122
1,71,47.3,1403.09,521.72,554.06,8.423,23.3881,38.8,642.21,391,1580.41,121
1,72,47.27,1406.81,521.97,553.76,8.3951,23.3085,38.84,642.41,391,1579.25,120
1,73,47.29,1397.93,522.04,553.88,8.404,23.3975,39.03,642.29,391,1592.04,119
1,74,47.58,1401.48,522.25,554.03,8.4135,23.382,38.8,642.96,392,1584.65,118
1,75,47.22,1394.82,521.77,553.6,8.4621,23.3521,38.89,641.96,392,1582.32,117
1,76,47.44,1398.94,521.58,553.66,8.3996,23.4428,39.02,642.21,390,1589.21,116
1,77,47.41,1400.97,521.6,554.61,8.453,23.275,38.99,642.55,393,1586.3,115
1,78,47.4,1404.1,522.28,553.47,8.3793,23.3486,38.88,641.99,392,1580.76,114
1,79,47.35,1403.93,521.85,553.77,8.4132,23.3121,38.9,642.12,394,1582.46,113
1,80,47.64,1393.58,521.52,553.91,8.4235,23.3613,38.89,641.94,392,1591.96,112
1,81,47.43,1402.04,521.66,553.88,8.4247,23.373,38.77,642.73,392,1584.82,111
1,82,47.25,1399.17,521.95,554.18,8.3986,23.2713,38.89,642.04,393,1589.07,110
1,83,47.22,1406.38,521.93,553.49,8.4128,23.3274,38.8,642.66,391,1588.05,109
1,84,47.38,1406.6,521.54,553.91,8.4139,23.2653,38.73,642.64,392,1585.52,108
1,85,47.36,1405.96,522.3,554.4,8.4499,23.284,39.01,642.28,392,1590.12,107
1,86,47.38,1403.56,521.82,553.69,8.4173,23.3945,38.94,641.84,394,1588.8,106
1,87,47.34,1413.1,521.43,554.1,8.4326,23.3402,38.88,642.33,391,1586.69,105
1,88,47.46,1406.09,522.2,554.48,8.4586,23.3086,38.9,641.96,392,1581.29,104
1,89,47.46,1402.22,521.55,553.91,8.4489,23.3288,38.95,642.24,392,1584.73,103
1,90,47.32,1412.93,521.49,552.88,8.3961,23.4712,38.98,642.67,391,1584.38,102
1,91,47.32,1404.76,521.55,553.54,8.3949,23.3842,39.11,641.98,394,1584.84,101
1,92,47.45,1400.77,521.91,553.81,8.3982,23.3522,38.99,642.89,392,1590.03,100
1,93,47.46,1408.48,521.43,554.07,8.421,23.2477,38.86,642.85,392,1593.74,99
1,94,47.48,1404.94,521.61,553.86,8.4524,23.3758,38.85,642.45,393,1583.27,98
1,95,47.38,1410.1,521.92,553.91,8.4575,23.3269,38.76,642.86,394,1577.6,97
1,96,47.39,1395.16,521.66,553.34,8.4311,23.3255,38.88,642.19,392,1584.07,96
1,97,47.46,1407.81,521.67,553.4,8.4105,23.2963,39.01,642.07,392,1595.77,95
1,98,47.37,1404.56,522.31,552.75,8.4012,23.2554,38.96,642.0,391,1591.11,94
1,99,47.4,1406.13,521.42,553.76,8.4481,23.2323,38.82,642.46,393,1592.73,93
1,100,47.64,1411.35,521.55,554.22,8.4241,23.409,38.93,642.22,392,1589.63,92
1,101,47.62,1403.41,521.89,553.37,8.4353,23.4149,38.75,642.75,391,1584.18,91
1,102,47.49,1403.42,521.38,553.42,8.4561,23.3653,38.94,642.85,393,1589.11,90
1,103,47.57,1403.21,521.41,553.64,8.4263,23.4289,38.69,642.21,392,1581.27,89
1,104,47.34,1406.25,522.38,553.66,8.4021,23.3393,38.96,642.29,392,1590.63,88
1,105,47.31,1403.22,521.81,553.11,8.4326,23.3857,38.77,642.01,393,1588.28,87
1,106,47.44,1404.45,521.51,553.6,8.4664,23.4148,39.08,642.68,392,1589.05,86
1,107,47.35,1407.73,521.75,553.74,8.4241,23.4086,39.01,642.53,396,1595.13,85
1,108,47.61,1399.47,521.52,554.43,8.4133,23.3032,38.75,643.49,393,1585.91,84
1,109,47.58,1409.1,521.62,553.59,8.3757,23.3561,39.05,642.49,394,1586.45,83
1,110,47.55,1401.27,522.01,554.08,8.4638,23.2951,39.06,642.55,393,1590.01,82
1,111,47.62,1408.11,521.53,553.49,8.4447,23.2135,38.92,642.67,392,1584.38,81
1,112,47.22,1401.84,521.9,553.19,8.4445,23.3207,38.84,642.66,394,1586.46,80
1,113,47.46,1406.59,521.75,552.91,8.458,23.3101,38.9,642.68,393,1590.85,79
1,114,47.58,1402.97,521.68,554.29,8.429,23.3754,38.89,642.31,394,1588.42,78
1,115,47.43,1406.6,521.36,554.13,8.4345,23.3022,38.93,642.66,393,1594.84,77
1,116,47.43,1401.99,521.6,554.4,8.4059,23.3512,39.03,642.64,394,1580.31,76
1,117,47.52,1409.35,521.22,554.59,8.4256,23.1766,38.73,642.38,391,1589.77,75
1,118,47.55,1409.34,521.31,554.25,8.4197,23.2966,38.88,642.34,393,1585.67,74
1,119,47.55,1404.46,521.46,553.77,8.4194,23.3188,39.01,642.67,394,1596.8,73
1,120,47.6,1407.68,521.34,553.66,8.4029,23.3061,38.81,642.81,393,1593.78,72
1,121,47.44,1411.9,521.3,553.7,8.4263,23.422,38.63,642.63,394,1593.56,71
1,122,47.6,1413.97,520.92,553.43,8.4256,23.2793,38.86,643.3,393,1593.68,70
1,123,47.41,1403.04,521.6,552.64,8.4396,23.292,38.9,643.39,392,1586.66,69
1,124,47.55,1402.28,521.4,552.26,8.4416,23.2341,38.8,642.48,393,1587.14,68
1,125,47.63,1406.42,521.57,552.44,8.4079,23.3039,38.68,642.96,394,1585.47,67
1,126,47.49,1418.5,521.35,553.72,8.4378,23.2289,38.85,642.49,392,1582.64,66
1,127,47.63,1399.49,521.34,553.81,8.4626,23.2772,38.91,642.99,393,1586.9,65
1,128,47.62,1407.06,521.96,552.74,8.4413,23.2641,38.85,642.47,393,1593.87,64
1,129,47.61,1408.42,522.02,552.42,8.4681,23.2656,38.84,642.41,393,1591.33,63
1,130,47.46,1412.25,521.49,552.66,8.3938,23.3461,38.71,642.7,394,1585.9,62
1,131,47.7,1413.25,521.45,553.7,8.4328,23.3435,38.73,643.01,391,1585.78,61
1,132,47.56,1405.76,521.64,553.16,8.4227,23.3186,38.53,643.19,393,1596.06,60
1,133,47.57,1410.11,521.23,553.82,8.4604,23.2521,38.95,642.45,394,1592.64,59
1,134,47.75,1402.67,521.52,553.2,8.4293,23.2833,38.68,642.85,393,1583.62,58
1,135,47.34,1406.83,520.99,553.09,8.4242,23.2744,38.85,642.45,392,1585.55,57
1,136,47.43,1404.39,521.54,554.18,8.4469,23.1699,38.76,642.84,393,1584.72,56
1,137,47.89,1405.15,521.63,553.39,8.449,23.2593,38.87,642.43,394,1594.69,55
1,138,47.4,1413.34,521.57,552.91,8.4208,23.3664,39.0,642.79,392,1589.82,54
1,139,47.67,1412.6,521.03,553.25,8.4621,23.3422,38.88,643.11,394,1592.28,53
1,140,47.51,1408.36,521.27,552.15,8.4397,23.3704,38.82,643.05,393,1590.89,52
1,141,47.49,1415.25,521.06,553.45,8.4641,23.2382,39.02,642.39,394,1590.02,51
1,142,47.59,1413.42,520.44,553.11,8.4291,23.2816,38.71,642.51,392,1595.29,50
1,143,47.52,1404.21,520.98,553.62,8.4419,23.2305,38.79,642.77,393,1593.1,49
1,144,47.57,1405.76,521.11,553.77,8.4601,23.2249,38.75,643.09,393,1591.89,48
1,145,47.54,1409.63,521.13,553.03,8.4644,23.149,38.67,642.95,395,1594.92,47
1,146,47.63,1408.82,521.13,552.6,8.4312,23.3233,38.69,642.72,392,1586.75,46
1,147,47.8,1409.96,520.92,553.09,8.4428,23.2684,38.77,642.25,393,1594.85,45
1,148,47.49,1411.89,521.08,552.84,8.4276,23.2498,38.77,643.02,392,1590.03,44
1,149,47.83,1410.7,521.13,552.54,8.4731,23.2565,38.77,642.9,394,1592.78,43
1,150,47.6,1409.22,520.5,553.57,8.4726,23.2082,38.68,643.06,394,1589.01,42
1,151,47.58,1411.94,520.94,552.41,8.4612,23.2277,38.56,642.82,394,1592.39,41
1,152,47.72,1420.83,520.39,552.62,8.4572,23.2369,38.77,642.67,395,1598.6,40
1,153,47.74,1414.56,520.69,552.68,8.4435,23.1719,38.78,642.99,393,1589.17,39
1,154,47.73,1416.07,520.72,552.57,8.4794,23.2366,38.82,642.81,394,1597.03,38
1,155,47.61,1414.89,521.23,552.89,8.4729,23.2749,38.68,642.83,394,1590.4,37
1,156,47.58,1421.23,520.75,553.24,8.4432,23.2791,38.77,643.04,395,1585.61,36
1,157,47.72,1412.47,520.94,552.32,8.4328,23.2354,38.67,642.2,392,1598.04,35
1,158,47.68,1410.09,520.88,553.19,8.4368,23.2894,38.75,642.88,394,1596.82,34
1,159,47.76,1420.37,520.65,552.18,8.4403,23.253,38.76,642.89,394,1589.54,33
1,160,47.84,1418.08,520.47,551.87,8.4433,23.2817,38.52,643.45,396,1590.65,32
1,161,47.77,1417.31,520.47,552.8,8.4405,23.2962,38.66,643.0,394,1594.2,31
1,162,47.79,1423.48,520.44,552.68,8.5015,23.1538,38.78,643.15,394,1592.22,30
1,163,47.89,1421.09,520.3,552.41,8.5129,23.1419,38.65,642.85,393,1600.54,29
1,164,47.7,1416.76,520.63,551.9,8.4803,23.1761,38.62,643.17,394,1598.96,28
1,165,47.89,1408.09,520.69,552.79,8.4922,23.2129,38.59,642.76,393,1597.03,27
1,166,47.86,1422.37,520.02,552.13,8.4663,23.145,38.62,643.34,395,1596.72,26
1,167,47.85,1414.72,520.49,552.57,8.4632,23.3011,38.77,643.02,394,1593.83,25
1,168,47.84,1415.7,520.78,552.09,8.4925,23.277,38.76,642.68,393,1591.19,24
1,169,47.88,1418.05,520.44,552.71,8.4767,23.187,38.58,643.2,394,1590.16,23
1,170,47.86,1417.41,520.23,552.02,8.49,23.1615,38.66,642.92,395,1592.71,22
1,171,48.03,1414.99,519.85,552.71,8.4922,23.2444,38.68,643.26,395,1592.06,21
1,172,48.07,1413.73,520.54,551.69,8.4595,23.1585,38.65,643.33,393,1591.71,20
1,173,47.9,1425.27,520.11,552.13,8.5091,23.1789,38.59,642.97,395,1590.69,19
1,174,48.0,1422.58,520.22,552.32,8.4476,23.0357,38.57,642.64,393,1599.81,18
1,175,47.86,1422.52,520.38,551.64,8.489,23.1573,38.58,643.61,394,1603.29,17
1,176,47.84,1422.73,519.8,551.91,8.4853,23.2491,38.72,642.86,394,1592.27,16
